gr24.tsp 5 24 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 1272 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
1526;20.0314;0;200;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;1272;0
1354;6.44654;1;200;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;1272;0
1426;12.1698;1;200;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;1272;0
1342;5.56604;0;200;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;1272;0
1535;20.7233;0;200;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;1272;0
1462;14.9371;2;200;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;1272;0
1539;21.0535;2;200;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;1272;0
1447;13.7893;0;200;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;1272;0
1421;11.7138;0;200;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;1272;0
1459;14.7484;3;200;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;1272;0
1443;13.4434;3;200;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;1272;0
1447;13.805;0;200;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;1272;0
1489;17.1069;0;200;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;1272;0
