gr17.tsp 5 17 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 2085 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2207;5.8705;2;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2152;3.2518;0;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;2085;0
2164;3.81775;0;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2093;0.393285;0;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;2085;0
2125;1.91847;0;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2103;0.872902;0;200;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;2085;0
2134;2.38849;0;200;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2089;0.220624;0;200;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;2085;0
2109;1.18945;0;200;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2093;0.393285;0;200;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;2085;0
2198;5.42926;0;200;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2131;2.23501;1;200;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;2085;0
2169;4.06715;2;200;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2128;2.07194;0;200;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;2085;0
2213;6.15827;0;200;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2147;2.99281;2;200;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;2085;0
2192;5.14149;2;200;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2125;1.94724;0;200;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;2085;0
2169;4.05755;0;200;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;2085;0
2091;0.316547;0;200;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;2085;0
2140;2.64748;0;200;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;2085;0
2096;0.565947;0;200;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;2085;0
2158;3.5012;0;200;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;2085;0
2093;0.393285;0;200;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;2085;0
2105;0.997602;0;200;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;2085;0
2101;0.767386;0;200;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;2085;0
2150;3.15588;0;200;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;2085;0
2114;1.41007;1;200;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;2085;0
2139;2.59952;2;200;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;2085;0
2117;1.55396;0;200;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;2085;0
2269;8.83453;0;200;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;2085;0
2133;2.32134;2;200;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;2085;0
2154;3.30935;1;200;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;2085;0
2111;1.27578;0;200;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;2085;0
2109;1.16067;0;200;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;2085;0
